customer_id,company_name,contact_name
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo
ANTON,Antonio Moreno Taquería,Antonio Moreno
AROUT,Around the Horn,Thomas Hardy
BERGS,Berglunds snabbköp,Christina Berglund
BLAUS,Blauer See Delikatessen,Hanna Moos
BLONP,Blondesddsl père et fils,Frédérique Citeaux
BOLID,Bólido Comidas preparadas,Martín Sommer
BONAP,Bon app',Laurence Lebihan
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln
BSBEV,B's Beverages,Victoria Ashworth
CACTU,Cactus Comidas para llevar,Patricio Simpson
CENTC,Centro comercial Moctezuma,Francisco Chang
CHOPS,Chop-suey Chinese,Yang Wang
COMMI,Comércio Mineiro,Pedro Afonso
CONSH,Consolidated Holdings,Elizabeth Brown
DRACD,Drachenblut Delikatessen,Sven Ottlieb
DUMON,Du monde entier,Janine Labrune
EASTC,Eastern Connection,Ann Devon
ERNSH,Ernst Handel,Roland Mendel
FAMIA,Familia Arquibaldo,Aria Cruz
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel
FOLIG,Folies gourmandes,Martine Rancé
FOLKO,Folk och fä HB,Maria Larsson
FRANK,Frankenversand,Peter Franken
FRANR,France restauration,Carine Schmitt
FRANS,Franchi S.p.A.,Paolo Accorti
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez
GALED,Galería del gastrónomo,Eduardo Saavedra
GODOS,Godos Cocina Típica,José Pedro Freyre
GOURL,Gourmet Lanchonetes,André Fonseca
GREAL,Great Lakes Food Market,Howard Snyder
GROSR,GROSELLA-Restaurante,Manuel Pereira
HANAR,Hanari Carnes,Mario Pontes
HILAA,HILARION-Abastos,Carlos Hernández
HUNGC,Hungry Coyote Import Store,Yoshi Latimer
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna
ISLAT,Island Trading,Helen Bennett
KOENE,Königlich Essen,Philip Cramer
LACOR,La corne d'abondance,Daniel Tonini
